"day","month","year","t_max","t_min","prec","sol_rad"
1,3,2000,31.8,22.7067358483611,13,16.90216059
2,3,2000,30.6,23.1067358483611,25.9,14.63451257
3,3,2000,32,21.9067358483611,0,22.16720693
4,3,2000,29.6,22.3067358483611,61.6,14.33792593
5,3,2000,31.6,22.5067358483611,0,15.98869188
6,3,2000,31.6,23.9067358483611,0,17.47736249
7,3,2000,33,23.5067358483611,0,21.91743128
8,3,2000,31.4,23.3067358483611,0,21.93416927
9,3,2000,33.6,22.5067358483611,0,21.45758003
10,3,2000,33.2,21.9067358483611,0,23.11373507
11,3,2000,32.8,23.7067358483611,0,18.03588927
12,3,2000,33,24.5067358483611,3.5,18.86830859
13,3,2000,33.2,23.3067358483611,0.1,20.19358631
14,3,2000,32.6,22.5067358483611,0,18.72329635
15,3,2000,33.6,22.5067358483611,0.9,23.99494289
16,3,2000,34.6,22.1067358483611,0,24.16784985
17,3,2000,32.6,23.9067358483611,0,22.52957941
18,3,2000,33.8,21.9067358483611,0,21.54793387
19,3,2000,33,23.3067358483611,0,21.55242573
20,3,2000,32.4,23.9067358483611,14,15.30202294
21,3,2000,33.4,23.7067358483611,41.5,21.7225825
22,3,2000,30.6,20.9067358483611,0.5,16.45810748
23,3,2000,30.2,23.1067358483611,0,15.14266028
24,3,2000,31,21.3067358483611,0,17.28118037
25,3,2000,24.2,21.7067358483611,5.5,9.879832723
26,3,2000,31,20.9067358483611,0,16.45591712
27,3,2000,30.4,23.7067358483611,7.1,13.98815867
28,3,2000,30.4,20.5067358483611,0,15.62834913
29,3,2000,31.2,22.3067358483611,0,20.05762731
30,3,2000,31.8,20.9067358483611,0,16.76836064
31,3,2000,33.4,22.7067358483611,0,24.30703439
1,4,1995,31.8,25.2,0,10.2013953
2,4,1995,34.4,24,0,22.00053516
3,4,1995,35.5,24.4,0,22.31685598
4,4,1995,35.6,25,0,22.30427032
5,4,1995,35.2,22.8,0,19.01919227
6,4,1995,33.8,23.4,0,12.9598112
7,4,1995,36.2,24.4,0,24.21992127
8,4,1995,34.8,23.6,8.9,23.38571547
9,4,1995,32.24779549,23.4,0,17.17279124
10,4,1995,32.4,24,4.6,12.43658087
11,4,1995,33.4,24.2,2.6,15.35526831
12,4,1995,31.6,24.8,0,13.55449237
13,4,1995,34.6,22.8,0,20.52287989
14,4,1995,27.8,24.2,1.4,9.800955603
15,4,1995,33.8,22.6,14.5,23.55873563
16,4,1995,30.4,23.6,1.1,12.53355452
17,4,1995,30,23,0,10.74379286
18,4,1995,31.4,23.4,0,17.18714723
19,4,1995,30.6,22.6,17.7,15.87845229
20,4,1995,32.8,23,17.7,19.72232313
21,4,1995,30.4,21.2,3.5,23.07304779
22,4,1995,34.10699974,23.4,0.3,9.723722208
23,4,1995,32.6,21.8,0,26.53934223
24,4,1995,33.4,23.6,0,13.86204343
25,4,1995,31.4,24,0,15.92167216
26,4,1995,33.4,23.4,0.3,18.77254694
27,4,1995,30.8,23.6,0,16.99452026
28,4,1995,35,22.8,1.4,24.7653309
29,4,1995,29.4,22.4,1.7,13.45365101
30,4,1995,33.4,22.2,0,18.3509368
1,5,1985,30.2,21,0,19.90784157
2,5,1985,31.4,21.6,0.1,25.5693138
3,5,1985,31,21.4,0,18.58710196
4,5,1985,31.4,21.8,12.3,17.29927344
5,5,1985,31.49398331,21.4,0.3,9.565689183
6,5,1985,32.2,21.6,0,24.00179831
7,5,1985,31.4,23.2,0,14.55724661
8,5,1985,29.4,24.4,5.9,12.34435465
9,5,1985,29.6,21.8,0.7,15.29628236
10,5,1985,32.2,23,15,24.79239917
11,5,1985,34.76812087,21.2,0.5,13.07037904
12,5,1985,31,21.8,41.6,23.47279174
13,5,1985,29.2,20.4,0,20.79747002
14,5,1985,31,22.2,0.6,21.38672377
15,5,1985,31.4,21,0,23.83187338
16,5,1985,31,22.6,7.6,16.99603264
17,5,1985,28.6,20.4,4.1,11.1075375
18,5,1985,30,21.4,4,18.48842257
19,5,1985,29.8,21.4,0,16.30841045
20,5,1985,31.6,23,0,25.0422032
21,5,1985,32.8,22.4,11.1,25.16050388
22,5,1985,29.8,23.4,0,15.9354934
23,5,1985,29,23,69,14.8438071
24,5,1985,30,23,0,16.04660625
25,5,1985,31,23,0,21.21223432
26,5,1985,31.4,22,0,17.83417123
27,5,1985,32.2,21.6,0,21.91971585
28,5,1985,32,22.6,0.5,19.76611207
29,5,1985,31.8,23.2,0,20.34990001
30,5,1985,30,23,0.5,13.35488617
31,5,1985,32,22.2,0,20.60689751
1,6,1981,31.4,23,0.9,19.82871814
2,6,1981,29.6,22.4,0,14.37054091
3,6,1981,32,22.8,0,24.46595524
4,6,1981,32,24,0,20.07096555
5,6,1981,33.6,24.4,0,25.02195247
6,6,1981,33.2,23.2,0.3,23.64571469
