"day","month","year","t_max","t_min","prec","sol_rad"
1,3,1989,34,19.2,11,23.32454926
2,3,1989,33.5,19.4,0,23.81885609
3,3,1989,29.9,19.4,28,13.21903878
4,3,1989,31.3,19.2,0.8,15.26714543
5,3,1989,24.3,18.4,4.2,9.335324034
6,3,1989,30,18.2,2,20.46825371
7,3,1989,28.2,18.2,0,12.96203818
8,3,1989,30,19.2,0,20.97533605
9,3,1989,31.5,19.2,19,21.62036929
10,3,1989,32.3,19.6,0,19.59483042
11,3,1989,28.7,19.4,3,10.33628242
12,3,1989,30,18.2,10,13.33257369
13,3,1989,29,19.2,33,11.45420364
14,3,1989,26.7,19.2,3,9.416236761
15,3,1989,28.9,18.2,1,12.72919638
16,3,1989,27.8,18.2,0,10.37411667
17,3,1989,30.5,18.4,0,24.08510863
18,3,1989,31,17.8,0,20.15432748
19,3,1989,32.3,16.2,0,23.62756959
20,3,1989,29,17.4,0,15.75325348
21,3,1989,31.3,17.4,0,25.05613511
22,3,1989,31.5,18.2,0,23.48325743
23,3,1989,33,16.4,0,24.74598552
24,3,1989,31,18.4,0,16.55247897
25,3,1989,33.9,18.4,12,24.27319733
26,3,1989,29.5,18.2,0,10.25214005
27,3,1989,31,17.8,4,22.06346212
28,3,1989,24.9,19.8,0,9.465676599
29,3,1989,31.5,16.8,0,22.99910741
30,3,1989,33,15.6,0,25.98145883
31,3,1989,33.7,16.4,13,24.08579653
1,4,1984,31.12986918,19.2,0.2,21.86733408
2,4,1984,29.9,14,0,17.11474901
3,4,1984,30.81768116,18.41768116,0,19.80669539
4,4,1984,30.6,14,0.2,16.50426405
5,4,1984,31,19.8,0.2,14.14564958
6,4,1984,31.4,15,0,19.4469642
7,4,1984,32,18,0,18.31721048
8,4,1984,31,20.4,4.6,14.28093735
9,4,1984,31,19.2,0,20.82046566
10,4,1984,31.4,20,37.7,19.08811502
11,4,1984,29.8,18.8,9.7,15.9565523
12,4,1984,30,19.4,0,19.67713762
13,4,1984,31.8,20,1.3,23.07804319
14,4,1984,29.2,19.4,7.7,12.96368929
15,4,1984,32.77034588,19.6,3.8,13.41679834
16,4,1984,28.6,19.6,0,9.376781865
17,4,1984,30.6,19.8,0,22.82612034
18,4,1984,32.4,19.2,0,25.73544345
19,4,1984,31,20,0,23.08196811
20,4,1984,30.6,20.4,0,14.88770004
21,4,1984,29.6,20.6,0,14.10102466
22,4,1984,27.2,21,0,9.320892494
23,4,1984,29.2,19,0,14.83463035
24,4,1984,28.8,19.6,17.6,14.66298506
25,4,1984,29,19.8,9.2,15.40946348
26,4,1984,29.8,20,3.2,13.70898975
27,4,1984,30.22970323,18.6,46.7,15.06417352
28,4,1984,31.36459765,18.4,6.2,18.54426941
29,4,1984,29.39640342,21.39640342,3,13.7343484
30,4,1984,29.2,18.8,0,17.58476972
1,5,2006,30.189036732765,19.2,0.6,18.95139536
2,5,2006,29.825105592765,19.6,0.6,10.13113921
3,5,2006,29.732521342765,19.2,25.6,19.35171653
4,5,2006,33.106536412765,19,17,9.953437946
5,5,2006,31.247841962765,18.8,0,11.7510209
6,5,2006,30.638553292765,19.62288509,0,12.0362187
7,5,2006,30.742933502765,18.8,33.2,12.47082563
8,5,2006,31.475377572765,18,3.4,10.95163818
9,5,2006,33.023265072765,17.8,7.9,9.137336401
10,5,2006,32.568862532765,19.8,0.3,10.47249919
11,5,2006,33.090107902765,19.8,9.3,16.58628411
12,5,2006,31.734817052765,20,0,18.50234534
13,5,2006,32.445904542765,19.2,0.3,19.81644674
14,5,2006,29.969547912765,18.6,0,22.61414075
15,5,2006,30.578133522765,18.6,0,16.78848464
16,5,2006,31.253565012765,20.6,18.5,12.76057507
17,5,2006,32.126279502765,20.4,0.4,13.92777283
18,5,2006,31.543058152765,19.8,11,13.02163979
19,5,2006,32.838925392765,19.8,0,10.78968746
20,5,2006,30.902609662765,18,11.7,19.32578607
21,5,2006,30.328546932765,18.2,0,14.29475896
22,5,2006,33.090080972765,18.2,13.6,20.00880098
23,5,2006,30.308440702765,19.4,0,20.56960512
24,5,2006,33.289132952765,19.4,0,12.77408636
25,5,2006,34.279224862765,19.4,0,20.51687021
26,5,2006,31.210887722765,19.4,0,12.45083372
27,5,2006,32.375221492765,19.4,0,18.13039962
28,5,2006,29.442290082765,19.2,9.8,16.50505238
29,5,2006,30.690038262765,19.2,1.9,12.11705091
30,5,2006,31.414470252765,20.2,1.8,18.21359372
31,5,2006,31.828907792765,20.4,1.9,12.52722995
1,6,1980,31.09764754,18.29764754,20.5,8.877700514
2,6,1980,29.58031875,18.18031875,3,8.869622243
3,6,1980,28.34526959,19.04526959,0,21.73879241
4,6,1980,30.58950765,17.98950765,2,20.99631173
5,6,1980,32.30107404,17.10107404,0,14.76829759
6,6,1980,30.7996289,17.7996289,0,17.78645286
7,6,1980,29.97779246,18.77779246,0,20.36772512
8,6,1980,27.27559717,19.67559717,0,17.75963623
9,6,1980,31.48518082,19.68518082,12.6,13.71670952
10,6,1980,29.28663276,19.68663276,4.3,12.84488495
11,6,1980,31.2047757,20.0047757,33.3,13.12487184
12,6,1980,27.2096666,19.0096666,19.3,12.68669835
13,6,1980,30.30970358,19.10970358,1,10.95715808
14,6,1980,31.0116467,18.6116467,0,20.71249427
15,6,1980,30.48012139,19.48012139,0,23.42979176
16,6,1980,31.8149141,19.2149141,0,20.55279654
17,6,1980,30.09154719,20.29154719,0,18.68242703
18,6,1980,30.61237597,18.21237597,0,14.37753464
19,6,1980,32.5231649,18.1231649,2.2,8.785859534
20,6,1980,31.52340781,19.52340781,0,9.070899717
21,6,1980,30.18104381,18.38104381,0,22.67870501
22,6,1980,26.37813668,20.67813668,0,16.23112546
23,6,1980,29.47904016,18.87904016,0,23.67910378
24,6,1980,31.02734482,19.82734482,0,20.38507437
25,6,1980,30.01904752,19.01904752,0,9.069321631
26,6,1980,29.2014937,19.4014937,0,10.07316261
27,6,1980,30.64615484,20.04615484,0,21.53886683
28,6,1980,30.34880011,18.74880011,0,21.25689569
29,6,1980,31.73487084,18.73487084,0,20.25889817
30,6,1980,28.54484156,19.94484156,1,16.82296494
1,7,1999,29,17.8,0,12.08987072
2,7,1999,29,18,6,16.97237064
3,7,1999,28.4,19,0,13.10338193
4,7,1999,29.2,17.8,0,17.4174878
5,7,1999,31,16.6,0,20.58722844
6,7,1999,30.4,18.4,3.5,13.84084169
7,7,1999,29,18,22,16.4381947
8,7,1999,29,18,0,13.42503079
9,7,1999,31,19,0,20.34880573
10,7,1999,32.6,17,0,23.67921973
11,7,1999,31,17.2,0,18.35825317
12,7,1999,31,18.4,0,22.27168096
13,7,1999,30,18,0,22.4346152
14,7,1999,31,18.8,0,22.74331315
15,7,1999,32,18,0,23.63262284
16,7,1999,31,19.6,0,22.49504621
17,7,1999,31,18,0,22.66183309
18,7,1999,30.6,20,0,16.58341778
19,7,1999,32,17,2.5,18.19961145
20,7,1999,33,18.4,1.1,18.6552098
21,7,1999,33,19,0,22.02737039
22,7,1999,32,18,0,17.67392576
23,7,1999,33,18.2,0.3,17.54739128
24,7,1999,31.2,17,0,18.29859682
25,7,1999,34,18.4,0,23.29953011
26,7,1999,34,19.8,0,15.99470842
27,7,1999,31.93659045,18.6,0,17.9224361
28,7,1999,32,18,0.5,12.06250668
29,7,1999,33.35341303,19,0,18.9964309
30,7,1999,34,18.4,0,21.52622265
31,7,1999,33,19,0,16.97674265
1,8,1994,33,19.6,6,20.1023336
2,8,1994,33,20,5.5,20.86803625
3,8,1994,30.4,19.8,0,13.77899192
4,8,1994,34.2,18.6,5.2,21.06999922
5,8,1994,32.2,19.6,2,18.27259036
6,8,1994,29.8,20,2,13.68089471
7,8,1994,30,19.4,19,15.78472207
8,8,1994,30.6,18.4,5.3,16.80618195
9,8,1994,31.8,19.6,0,17.91692793
10,8,1994,31.7650588,20.2,0,14.77226904
11,8,1994,33.87136487,17.07136487,0,16.9763542
12,8,1994,34.38027167,16.58027167,0,22.45054661
13,8,1994,33.87560718,18.27560718,0,18.22074994
14,8,1994,31.4251557,15.8251557,0,18.19734337
15,8,1994,34.89591642,18.29591642,0,19.43972144
16,8,1994,35.48736143,16.48736143,0,20.5161971
17,8,1994,31.60462419,19.20462419,0,18.09203861
18,8,1994,32,19,0.5,19.02084758
19,8,1994,31,19.4,0,19.95165712
20,8,1994,34.72237828,18.6,0,17.39478491
21,8,1994,32.6,17.4,0.7,21.81895964
22,8,1994,33.6,15.4,12,21.69060341
23,8,1994,31,16.8,8.6,17.90665692
24,8,1994,30.2,19.8,0,19.60169484
25,8,1994,33.4,19.4,0,24.20009215
26,8,1994,34,18.4,0,25.14089373
27,8,1994,34.4,17.8,0,20.88203956
28,8,1994,32.8,20,0,17.53214597
29,8,1994,33,18.6,0,16.3206957
30,8,1994,31.4,20.4,0.4,12.80465204
31,8,1994,31.2,20,52,16.03902775
